Name,RA,DEC,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
3FGL J0303.4-2407,45.860429,-24.119841,0,0,0,2,0,0,0,0,0,0,0,0,0
3FGL J1626.4-7640,246.659035,-76.648777,0,0,0,0,0,0,0,0,0,0,0,3,3
3FGL J0912.9-2104,138.250928,-21.055847,0,0,0,0,0,0,0,2,0,0,0,0,0
3FGL J0209.4-5229,32.339833,-52.489722,0,3,3,0,0,0,0,0,0,0,0,0,0
3FGL J1716.7-8112,259.297848,-81.252663,0,0,0,0,0,0,0,0,0,0,0,3,3
1RX J1057.8-2753,164.461673,-27.903151,0,0,0,0,0,0,0,0,2,0,0,0,0
3FGL J1010.2-3120,152.566153,-31.318506,0,0,0,0,0,0,0,0,2,0,0,0,0
3FGL J0147.0-5204,26.702422,-52.042681,0,3,3,0,0,0,0,0,0,0,0,0,0
3FGL J0550.6-3217,87.669043,-32.271246,0,0,0,0,3,3,0,0,0,0,0,0,0
3FGL J0522.9-3628,80.741603,-36.45857,0,0,0,0,3,3,0,0,0,0,0,0,0
PMN J0525-2010,81.365756,-20.180222,0,0,0,0,2,2,0,0,0,0,0,0,0
3FGL J0846.9-2336,131.756525,-23.617131,0,0,0,0,0,0,0,2,0,0,0,0,0
PMN J1254-4425,193.739638,-44.415723,0,0,0,0,0,0,0,0,0,2,2,0,0
3FGL J2319.2-4207,349.774571,-42.113427,0,2,0,0,0,0,0,0,0,0,0,0,0
3FGL J0627.0-3529,96.778039,-35.487594,0,0,0,0,0,3,3,0,0,0,0,0,0
3FGL J1440.4-3845,220.157835,-38.781356,0,0,0,0,0,0,0,0,0,0,1,0,0
WISH B1122.6-2044,171.285821,-21.018279,0,0,0,0,0,0,0,0,1,0,0,0,0
3FGL J1936.9-4719,294.233774,-47.330626,0,0,0,0,0,0,0,0,0,0,0,0,1
3FGL J1959.8-4725,299.9395,-47.422028,0,0,0,0,0,0,0,0,0,0,0,0,1
3FGL J0008.6-2340,2.147499,-23.65778,0,1,0,0,0,0,0,0,0,0,0,0,0
PMN J0040-2340,10.103783,-23.666924,0,0,1,0,0,0,0,0,0,0,0,0,0
QSO B1256-229,194.785258,-23.177404,0,0,0,0,0,0,0,0,0,1,0,0,0
3FGL J2359.3-3038,359.782931,-30.627965,0,1,0,0,0,0,0,0,0,0,0,0,0
1RXS J143949.8-395524,219.962692,-39.921562,0,0,0,0,0,0,0,0,0,0,1,0,0
3FGL J2139.4-4235,324.850722,-42.589019,1,0,0,0,0,0,0,0,0,0,0,0,0
3FGL J1924.8-2914,291.212733,-29.2417,0,0,0,0,0,0,0,0,0,0,0,0,1
3FGL J1406.0-2508,211.540042,-25.135938,0,0,0,0,0,0,0,0,0,0,1,0,0
NVSS J150720-370903,226.836656,-37.150863,0,0,0,0,0,0,0,0,0,0,1,0,0
3FGL J1454.2-3751,223.614207,-37.79254,0,0,0,0,0,0,0,0,0,0,1,0,0
3FGL J1753.5-5010,268.410559,-50.254014,0,0,0,0,0,0,0,0,0,0,0,0,1
3FGL J2222.3-3500,335.774711,-34.929772,1,0,0,0,0,0,0,0,0,0,0,0,0
3FGL J1359.9-3746,209.957247,-37.766903,0,0,0,0,0,0,0,0,0,0,1,0,0
3FGL J1626.0-2951,246.525087,-29.857492,0,0,0,0,0,0,0,0,0,0,0,1,0
3FGL J1103.5-2329,165.906729,-23.492001,0,0,0,0,0,0,0,0,1,0,0,0,0
WISE J184806.17-423026.4,282.02575,-42.507389,0,0,0,0,0,0,0,0,0,0,0,0,1
1RXS J194422.6-452326,296.09325,-45.39275,0,0,0,0,0,0,0,0,0,0,0,0,1
3FGL J1945.9-3115,296.497372,-31.193988,0,0,0,0,0,0,0,0,0,0,0,0,1
3FGL J1553.5-3118,238.389896,-31.308808,0,0,0,0,0,0,0,0,0,0,0,1,0
3FGL J1518.0-2732,229.515001,-27.525331,0,0,0,0,0,0,0,0,0,0,1,0,0
1RXS J194306.8-351001,295.777452,-35.168514,0,0,0,0,0,0,0,0,0,0,0,0,1
3FGL J2359.5-2052,359.831885,-20.798874,0,1,0,0,0,0,0,0,0,0,0,0,0
