Name,#RA,DEC,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
QSO B0506-612,76.683286,-61.161387,4,4,4,4,4,4,4,4,4,4,4,4,4
2FHL J0543.9-5533,85.986708,-55.534417,4,4,4,4,4,4,4,4,4,4,4,4,4
QSO J0635-7516,98.943783,-75.271338,4,4,4,4,4,4,4,4,4,4,4,4,4
2FHL J0700.6-6609,105.130222,-66.179231,4,4,4,4,4,0,4,4,4,4,4,4,4
3FGLÊJ0730.5-6606,112.706496,-66.038577,4,4,4,4,4,4,4,4,4,4,4,4,4
QSO B0432-606,68.392118,-60.503825,4,4,4,4,4,4,4,4,4,4,4,4,4
5BZU J0658-5840,104.557412,-58.674324,0,4,4,4,4,4,4,4,4,4,0,4,4
3FGL J0444.6-6012,71.256167,-60.250167,4,4,4,4,4,4,4,4,4,4,4,4,4
2FHL J0352.7-6831,58.237542,-68.521833,4,3,4,4,0,4,4,4,4,4,4,0,4
2FHL J0506.9-5434,76.740458,-54.582917,0,0,4,3,3,4,0,0,0,4,0,0,4
WISE J034320.52-644256.0,55.834875,-64.715583,4,3,3,4,0,0,4,0,0,0,4,0,0
3FGL J0331.3-6155,52.827333,-61.924167,3,3,3,3,0,0,0,0,0,0,0,0,0
2FGL J0647.7-5132,101.79075,-51.597,0,4,0,0,0,3,3,3,0,0,0,4,0
3FGL J0425.0-5331,66.267805,-53.53285,0,0,3,3,3,0,0,0,0,0,0,0,0
3FGLÊJ0455.7-4617,73.961552,-46.2663,0,0,0,3,3,0,0,0,0,0,0,0,0
3FGL J0357.1-4957,59.250542,-49.93075,0,0,3,3,0,0,0,0,0,0,0,0,0
1RXS J095812.8-675241,149.554125,-67.878806,0,0,0,0,0,0,0,0,0,3,3,0,0
3FGLÊJ0244.8-5818,41.168292,-58.33175,0,3,3,0,0,0,0,0,0,0,0,0,0
PMN J0829-5856,127.379875,-58.933528,0,0,0,0,0,0,0,3,3,3,0,0,0
3FGL J0515.3-4557,78.938542,-45.945333,0,0,0,3,3,3,0,0,0,0,0,0,0
QSO B0524-460,81.380834,-45.96519,0,0,0,3,3,3,0,0,0,0,0,0,0
QSO B0537-441,84.70984,-44.085816,0,0,0,0,3,3,0,0,0,0,0,0,0
,72.352909,-43.835823,0,0,0,3,3,0,0,0,0,0,0,0,0
,51.348025,-56.595738,0,3,3,3,0,0,0,0,0,0,0,0,0
,79.957181,-45.778848,0,0,0,3,3,3,0,0,0,0,0,0,0
,37.788458,-57.918389,0,3,0,0,0,0,0,0,0,0,0,0,0
,91.64889,-47.498568,0,0,0,0,3,0,3,0,0,0,0,0,0
,338.805152,-48.599665,2,0,0,0,0,0,0,0,0,0,0,0,0
,53.807958,-44.994306,0,0,3,3,0,0,0,0,0,0,0,0,0
,176.755711,-38.203062,0,0,0,0,0,0,0,0,0,2,0,0,0
,315.909973,-62.540532,0,0,0,0,0,0,0,0,0,0,0,0,2
,335.372333,-52.423722,2,0,0,0,0,0,0,0,0,0,0,0,0
,53.564271,-37.428629,0,0,0,3,0,0,0,0,0,0,0,0,0
,12.497804,-57.640928,3,3,0,0,0,0,0,0,0,0,0,0,0
,169.612324,-46.570834,0,0,0,0,0,0,0,0,0,2,0,0,0
,178.83549,-34.288803,0,0,0,0,0,0,0,0,0,2,0,0,0
,155.983417,-43.6,0,0,0,0,0,0,0,0,2,0,0,0,0
,12.818542,-62.7015,3,3,0,0,0,0,0,0,0,0,0,0,0
,171.381174,-35.950931,0,0,0,0,0,0,0,0,0,2,0,0,0
,354.115033,-76.343866,3,0,0,0,0,0,0,0,0,0,0,0,3
,196.087208,-43.88575,0,0,0,0,0,0,0,0,0,0,2,0,0
,90.713042,-40.312694,0,0,0,0,0,3,0,0,0,0,0,0,0
,151.69339,-21.989003,0,0,0,0,0,0,0,0,2,0,0,0,0
,60.973958,-36.083865,0,0,0,3,3,0,0,0,0,0,0,0,0
,5.499333,-51.673806,0,2,0,0,0,0,0,0,0,0,0,0,0
,12.319267,-44.953101,0,2,0,0,0,0,0,0,0,0,0,0,0
,6.028009,-68.348498,3,0,0,0,0,0,0,0,0,0,0,0,0
,55.148366,-21.325326,0,0,0,2,0,0,0,0,0,0,0,0,0
,97.748007,-24.112834,0,0,0,0,0,2,0,0,0,0,0,0,0
,53.556894,-40.140388,0,0,0,3,0,0,0,0,0,0,0,0,0
,351.361973,-48.004796,2,2,0,0,0,0,0,0,0,0,0,0,0
,4.836017,-81.880947,3,0,0,0,0,0,0,0,0,0,0,0,0
,89.526798,-38.642108,0,0,0,0,3,3,0,0,0,0,0,0,0
,39.39186,-36.057904,0,0,2,2,0,0,0,0,0,0,0,0,0
,20.131931,-27.023515,0,0,2,0,0,0,0,0,0,0,0,0,0
,141.965935,-20.580898,0,0,0,0,0,0,0,2,0,0,0,0,0
,354.836625,-74.076917,3,0,0,0,0,0,0,0,0,0,0,0,3
,242.69359,-66.817019,0,0,0,0,0,0,0,0,0,0,0,2,0
,32.692502,-51.017192,0,3,3,0,0,0,0,0,0,0,0,0,0
,196.908265,-42.994163,0,0,0,0,0,0,0,0,0,0,2,0,0
,351.187083,-40.678861,0,2,0,0,0,0,0,0,0,0,0,0,0
,39.635335,-31.282795,0,0,2,2,0,0,0,0,0,0,0,0,0
,198.7642,-42.6139,0,0,0,0,0,0,0,0,0,0,2,0,0
,45.860429,-24.119841,0,0,0,2,0,0,0,0,0,0,0,0,0
,246.659035,-76.648777,0,0,0,0,0,0,0,0,0,0,0,3,3
,138.250928,-21.055847,0,0,0,0,0,0,0,2,0,0,0,0,0
,32.339833,-52.489722,0,3,3,0,0,0,0,0,0,0,0,0,0
,259.297848,-81.252663,0,0,0,0,0,0,0,0,0,0,0,3,3
,164.461673,-27.903151,0,0,0,0,0,0,0,0,2,0,0,0,0
,152.566153,-31.318506,0,0,0,0,0,0,0,0,2,0,0,0,0
,26.702422,-52.042681,0,3,3,0,0,0,0,0,0,0,0,0,0
,87.669043,-32.271246,0,0,0,0,3,3,0,0,0,0,0,0,0
,80.741603,-36.45857,0,0,0,0,3,3,0,0,0,0,0,0,0
,81.365756,-20.180222,0,0,0,0,2,2,0,0,0,0,0,0,0
,131.756525,-23.617131,0,0,0,0,0,0,0,2,0,0,0,0,0
,193.739638,-44.415723,0,0,0,0,0,0,0,0,0,2,2,0,0
,349.774571,-42.113427,0,2,0,0,0,0,0,0,0,0,0,0,0
,96.778039,-35.487594,0,0,0,0,0,3,3,0,0,0,0,0,0
,220.157835,-38.781356,0,0,0,0,0,0,0,0,0,0,1,0,0
,171.285821,-21.018279,0,0,0,0,0,0,0,0,1,0,0,0,0
,294.233774,-47.330626,0,0,0,0,0,0,0,0,0,0,0,0,1
,299.9395,-47.422028,0,0,0,0,0,0,0,0,0,0,0,0,1
,2.147499,-23.65778,0,1,0,0,0,0,0,0,0,0,0,0,0
,10.103783,-23.666924,0,0,1,0,0,0,0,0,0,0,0,0,0
,194.785258,-23.177404,0,0,0,0,0,0,0,0,0,1,0,0,0
,359.782931,-30.627965,0,1,0,0,0,0,0,0,0,0,0,0,0
,219.962692,-39.921562,0,0,0,0,0,0,0,0,0,0,1,0,0
,324.850722,-42.589019,1,0,0,0,0,0,0,0,0,0,0,0,0
,291.212733,-29.2417,0,0,0,0,0,0,0,0,0,0,0,0,1
,211.540042,-25.135938,0,0,0,0,0,0,0,0,0,0,1,0,0
,226.836656,-37.150863,0,0,0,0,0,0,0,0,0,0,1,0,0
,223.614207,-37.79254,0,0,0,0,0,0,0,0,0,0,1,0,0
,268.410559,-50.254014,0,0,0,0,0,0,0,0,0,0,0,0,1
,335.774711,-34.929772,1,0,0,0,0,0,0,0,0,0,0,0,0
,209.957247,-37.766903,0,0,0,0,0,0,0,0,0,0,1,0,0
,246.525087,-29.857492,0,0,0,0,0,0,0,0,0,0,0,1,0
,165.906729,-23.492001,0,0,0,0,0,0,0,0,1,0,0,0,0
,282.02575,-42.507389,0,0,0,0,0,0,0,0,0,0,0,0,1
,296.09325,-45.39275,0,0,0,0,0,0,0,0,0,0,0,0,1
,296.497372,-31.193988,0,0,0,0,0,0,0,0,0,0,0,0,1
,238.389896,-31.308808,0,0,0,0,0,0,0,0,0,0,0,1,0
,229.515001,-27.525331,0,0,0,0,0,0,0,0,0,0,1,0,0
,295.777452,-35.168514,0,0,0,0,0,0,0,0,0,0,0,0,1
,359.831885,-20.798874,0,1,0,0,0,0,0,0,0,0,0,0,0
,214.050733,-24.303756,0,0,0,0,0,0,0,0,0,0,1,0,0
,220.988323,-39.14446,0,0,0,0,0,0,0,0,0,0,1,0,0
,172.528792,-42.244972,0,0,0,0,0,0,0,0,0,2,0,0,0
,299.562037,-30.186917,0,0,0,0,0,0,0,0,0,0,0,0,0
,310.460518,-37.561511,0,0,0,0,0,0,0,0,0,0,0,0,0
,305.609458,-45.225417,0,0,0,0,0,0,0,0,0,0,0,0,0
,329.716938,-30.225588,1,0,0,0,0,0,0,0,0,0,0,0,0
,202.329925,-38.238501,0,0,0,0,0,0,0,0,0,0,1,0,0
,9.784205,-22.333744,0,0,1,0,0,0,0,0,0,0,0,0,0
,302.355795,-48.831589,0,0,0,0,0,0,0,0,0,0,0,0,1
,2.398157,-32.276925,0,2,0,0,0,0,0,0,0,0,0,0,0
,237.207289,-22.850698,0,0,0,0,0,0,0,0,0,0,0,0,0
,258.523002,-20.463447,0,0,0,0,0,0,0,0,0,0,0,0,0
,290.884124,-21.075926,0,0,0,0,0,0,0,0,0,0,0,0,0
,229.424221,-24.372077,0,0,0,0,0,0,0,0,0,0,1,0,0
